Year,Quarter,State,Count,Amount,Average Transaction
2021,Q4,Lakshadweep,11,17096.0,1554.1818181818182
2021,Q4,Manipur,145,271789.0,1874.4068965517242
2021,Q4,Maharashtra,82423,93262227.0,1131.5073098528323
2021,Q4,Dadra & Nagar Haveli & Daman & Diu,421,425384.0,1010.4133016627078
2021,Q4,Meghalaya,263,451612.0,1717.1558935361218
2021,Q4,Andaman & Nicobar Islands,757,1056380.0,1395.4821664464994
2021,Q4,Haryana,19489,25885838.0,1328.228128687978
2021,Q4,Rajasthan,19375,24455262.0,1262.2070709677419
2021,Q4,Ladakh,76,195966.0,2578.5
2021,Q4,Punjab,6638,9912828.0,1493.3455860198856
2021,Q4,Assam,8622,13962068.0,1619.353746230573
2021,Q4,Jharkhand,8465,11190423.0,1321.9637330183107
2021,Q4,Odisha,9093,10941626.0,1203.3021005168812
2021,Q4,Bihar,22456,27313813.0,1216.3258371927325
2021,Q4,Kerala,19199,31260319.0,1628.2264180426064
2021,Q4,Karnataka,74436,90723288.0,1218.8092858294374
2021,Q4,Chandigarh,710,835813.0,1177.2014084507043
2021,Q4,Telangana,34848,38845492.0,1114.7122359963269
2021,Q4,Himachal Pradesh,2474,4667661.0,1886.6859337105902
2021,Q4,West Bengal,26320,31282871.0,1188.5589285714286
2021,Q4,Gujarat,19142,23282921.0,1216.3264549158916
2021,Q4,Sikkim,195,503532.0,2582.2153846153847
2021,Q4,Nagaland,183,341424.0,1865.704918032787
2021,Q4,Mizoram,100,175847.0,1758.47
2021,Q4,Chhattisgarh,6029,8229039.0,1364.9094377176978
2021,Q4,Jammu & Kashmir,3113,5223317.0,1677.904593639576
2021,Q4,Goa,2087,2737316.0,1311.6032582654527
2021,Q4,Arunachal Pradesh,320,598459.0,1870.184375
2021,Q4,Delhi,34251,36578331.0,1067.9492861522292
2021,Q4,Uttarakhand,5529,7849020.0,1419.6093326098753
2022,Q1,Puducherry,1199,1663404.0,1387.326105087573
2022,Q1,Tamil Nadu,47621,64969045.0,1364.2940089456333
2022,Q1,Uttar Pradesh,45996,73014969.0,1587.4199713018522
2022,Q1,Madhya Pradesh,13791,19901462.0,1443.0760640997753
2022,Q1,Andhra Pradesh,29954,42648157.0,1423.788375509114
2022,Q1,Tripura,907,1493401.0,1646.5281146637267
2022,Q1,Lakshadweep,27,34664.0,1283.851851851852
2022,Q1,Manipur,177,517854.0,2925.728813559322
2022,Q1,Maharashtra,88015,117411928.0,1333.9990683406238
2022,Q1,Dadra & Nagar Haveli & Daman & Diu,493,720741.0,1461.949290060852
2022,Q1,Meghalaya,337,729211.0,2163.8308605341244
2022,Q1,Andaman & Nicobar Islands,768,1131287.0,1473.0299479166667
2022,Q1,Haryana,22783,32526943.0,1427.684808848703
2022,Q1,Rajasthan,21517,31576932.0,1467.5341357996003
2022,Q1,Ladakh,75,193935.0,2585.8
2022,Q1,Punjab,7475,13155682.0,1759.9574581939798
2022,Q1,Assam,16230,27447766.0,1691.1747381392483
2022,Q1,Jharkhand,9373,13819466.0,1474.390910060813
2022,Q1,Odisha,9627,14539309.0,1510.2637374052144
2022,Q1,Bihar,20253,27755736.0,1370.4505999111243
2022,Q1,Kerala,37110,64172190.0,1729.2425222312045
2022,Q1,Karnataka,95640,130733580.0,1366.9341279799248
2022,Q1,Chandigarh,792,1150932.0,1453.1969696969697
2022,Q1,Telangana,36325,51942016.0,1429.9247350309704
2022,Q1,Himachal Pradesh,2768,5234739.0,1891.1629335260116
2022,Q1,West Bengal,38779,51160527.0,1319.2843291472188
2022,Q1,Gujarat,22221,29953433.0,1347.9786238243103
2022,Q1,Sikkim,239,685987.0,2870.2384937238494
2022,Q1,Nagaland,242,529223.0,2186.871900826446
2022,Q1,Mizoram,85,189428.0,2228.564705882353
2022,Q1,Chhattisgarh,6612,10139190.0,1533.4528130671506
2022,Q1,Jammu & Kashmir,3584,7244267.0,2021.2798549107142
2022,Q1,Goa,2634,3865245.0,1467.4430523917995
2022,Q1,Arunachal Pradesh,355,894107.0,2518.6112676056337
2022,Q1,Delhi,28232,35442069.0,1255.386405497308
2022,Q1,Uttarakhand,5339,8824948.0,1652.9215208840608
2022,Q2,Puducherry,1156,1597786.0,1382.1678200692043
2022,Q2,Tamil Nadu,46714,61835120.0,1323.6956800959026
2022,Q2,Uttar Pradesh,55133,77434953.0,1404.511871293055
2022,Q2,Madhya Pradesh,14629,20159098.0,1378.0229680771072
2022,Q2,Andhra Pradesh,32185,41708072.0,1295.88541245922
2022,Q2,Tripura,1021,1509105.0,1478.0656219392752
2022,Q2,Lakshadweep,18,27463.0,1525.7222222222222
2022,Q2,Manipur,218,553649.0,2539.6743119266057
2022,Q2,Maharashtra,80935,104603934.0,1292.443738802743
2022,Q2,Dadra & Nagar Haveli & Daman & Diu,438,686857.0,1568.1666666666667
2022,Q2,Meghalaya,379,789094.0,2082.042216358839
2022,Q2,Andaman & Nicobar Islands,501,779740.0,1556.367265469062
2022,Q2,Haryana,25352,33759068.0,1331.613600504891
2022,Q2,Rajasthan,24333,33748931.0,1386.9613693338265
2022,Q2,Ladakh,113,269446.0,2384.477876106195
2022,Q2,Punjab,9175,15465367.0,1685.5985831062671
2022,Q2,Assam,9228,15357811.0,1664.2621369744256
2022,Q2,Jharkhand,9477,13464840.0,1420.7913896802786
2022,Q2,Odisha,12371,16631095.0,1344.3614097486056
2022,Q2,Bihar,21892,28212833.0,1288.727982824776
2022,Q2,Kerala,35667,59920203.0,1679.98999074775
2022,Q2,Karnataka,93385,123228632.0,1319.5762916956685
2022,Q2,Chandigarh,1330,1874959.0,1409.7436090225565
2022,Q2,Telangana,45600,58056956.0,1273.1788596491228
2022,Q2,Himachal Pradesh,2831,5371078.0,1897.2370187212998
2022,Q2,West Bengal,33542,41737021.0,1244.3211794168506
2022,Q2,Gujarat,25381,32090965.0,1264.369607186478
2022,Q2,Sikkim,160,383709.0,2398.18125
2022,Q2,Nagaland,186,380878.0,2047.731182795699
2022,Q2,Mizoram,76,115090.0,1514.342105263158
2022,Q2,Chhattisgarh,7008,10119964.0,1444.058789954338
2022,Q2,Jammu & Kashmir,4071,7729792.0,1898.7452714320805
2022,Q2,Goa,3524,5093510.0,1445.3774120317821
2022,Q2,Arunachal Pradesh,564,1360231.0,2411.7570921985816
2022,Q2,Delhi,26378,31787281.0,1205.0678974903328
2022,Q2,Uttarakhand,5773,9168313.0,1588.1366707084705
2022,Q3,Puducherry,1585,2025529.0,1277.9362776025237
2022,Q3,Tamil Nadu,64356,79747520.0,1239.1621604823172
2022,Q3,Uttar Pradesh,64514,87703512.0,1359.4492978268283
2022,Q3,Madhya Pradesh,22733,29185118.0,1283.8216689394274
2022,Q3,Andhra Pradesh,39301,48791931.0,1241.493371669932
2022,Q3,Tripura,1590,2105984.0,1324.5182389937106
2022,Q3,Lakshadweep,38,41504.0,1092.2105263157894
2022,Q3,Manipur,200,403213.0,2016.065
2022,Q3,Maharashtra,90958,113835208.0,1251.5139734822665
2022,Q3,Dadra & Nagar Haveli & Daman & Diu,707,983776.0,1391.4794908062236
2022,Q3,Meghalaya,600,1039491.0,1732.485
2022,Q3,Andaman & Nicobar Islands,643,902466.0,1403.524105754277
2022,Q3,Haryana,35346,45402800.0,1284.5244157754767
2022,Q3,Rajasthan,33975,45565544.0,1341.1491979396615
2022,Q3,Ladakh,137,369742.0,2698.8467153284673
2022,Q3,Punjab,12370,19381895.0,1566.8468067906224
2022,Q3,Assam,14149,22543564.0,1593.297335500742
2022,Q3,Jharkhand,14388,18156857.0,1261.9444676118987
2022,Q3,Odisha,18898,23308531.0,1233.3861255159277
2022,Q3,Bihar,28511,34704251.0,1217.223212093578
2022,Q3,Kerala,54587,85390924.0,1564.3087914704965
2022,Q3,Karnataka,110273,144605784.0,1311.3435201726625
2022,Q3,Chandigarh,1533,1998439.0,1303.6131767775603
2022,Q3,Telangana,51465,64798126.0,1259.0717186437384
2022,Q3,Himachal Pradesh,3641,6161692.0,1692.307607800055
2022,Q3,West Bengal,47853,59092307.0,1234.8715232064865
2022,Q3,Gujarat,31302,37557227.0,1199.8347389943135
2022,Q3,Sikkim,243,474940.0,1954.485596707819
2022,Q3,Nagaland,210,439669.0,2093.6619047619047
2022,Q3,Mizoram,310,471306.0,1520.3419354838709
2022,Q3,Chhattisgarh,8849,12119470.0,1369.5863939428184
2022,Q3,Jammu & Kashmir,4794,8281826.0,1727.5398414685023
2022,Q3,Goa,3157,4142108.0,1312.0392777953753
2022,Q3,Arunachal Pradesh,510,1300304.0,2549.6156862745097
2022,Q3,Delhi,35944,41570160.0,1156.5257066547963
2022,Q3,Uttarakhand,6784,10070172.0,1484.4003537735848
2022,Q4,Puducherry,2331,2693130.0,1155.3539253539254
2022,Q4,Tamil Nadu,125491,146457790.0,1167.0780374688225
2022,Q4,Uttar Pradesh,77022,116755813.0,1515.8761522681832
2022,Q4,Madhya Pradesh,29234,42712883.0,1461.0687213518506
2022,Q4,Andhra Pradesh,44329,58043239.0,1309.3739764037086
2022,Q4,Tripura,1508,2112534.0,1400.8846153846155
2022,Q4,Lakshadweep,15,27135.0,1809.0
2022,Q4,Manipur,271,620655.0,2290.239852398524
2022,Q4,Maharashtra,125900,174915648.0,1389.3220651310564
2022,Q4,Dadra & Nagar Haveli & Daman & Diu,871,1272628.0,1461.1113662456946
2022,Q4,Meghalaya,627,1189529.0,1897.1754385964912
2022,Q4,Andaman & Nicobar Islands,901,1441210.0,1599.5671476137625
2022,Q4,Haryana,37971,56627115.0,1491.3253535592953
2022,Q4,Rajasthan,40926,60792838.0,1485.4331720666569
2022,Q4,Ladakh,162,410091.0,2531.425925925926
2022,Q4,Punjab,12187,21727831.0,1782.8695331090507
2022,Q4,Assam,18826,29239168.0,1553.1269520875385
2022,Q4,Jharkhand,16779,23147805.0,1379.5699982120507
2022,Q4,Odisha,24538,33565401.0,1367.8947346972043
2022,Q4,Bihar,33895,43914519.0,1295.6046319516154
2022,Q4,Kerala,65563,103982997.0,1586.0012049479126
2022,Q4,Karnataka,133971,185063287.0,1381.3682588022782
2022,Q4,Chandigarh,1403,2024528.0,1442.999287241625
2022,Q4,Telangana,64655,88544127.0,1369.4861495630655
2022,Q4,Himachal Pradesh,4565,9060436.0,1984.7614457831326
2022,Q4,West Bengal,54277,70466433.0,1298.2742782394016
2022,Q4,Gujarat,36418,50629325.0,1390.2280465703773
2022,Q4,Sikkim,306,667214.0,2180.4379084967322
2022,Q4,Nagaland,367,700864.0,1909.7111716621253
2022,Q4,Mizoram,350,612551.0,1750.1457142857143
2022,Q4,Chhattisgarh,11994,18137856.0,1512.2441220610306
2022,Q4,Jammu & Kashmir,5031,10111183.0,2009.775988869012
2022,Q4,Goa,4388,6190669.0,1410.8179124886053
2022,Q4,Arunachal Pradesh,613,1464572.0,2389.1876019575857
2022,Q4,Delhi,48908,60603173.0,1239.1259712112537
2022,Q4,Uttarakhand,8750,13817747.0,1579.1710857142857
2023,Q1,Puducherry,1955,2593091.0,1326.3892583120205
2023,Q1,Tamil Nadu,90690,116710222.0,1286.9139045098689
2023,Q1,Uttar Pradesh,73080,127110494.0,1739.3335249042145
2023,Q1,Madhya Pradesh,26393,45135679.0,1710.138256355852
2023,Q1,Andhra Pradesh,34920,51963355.0,1488.0685853379152
2023,Q1,Tripura,1642,2404958.0,1464.6516443361754
2023,Q1,Lakshadweep,26,30199.0,1161.5
2023,Q1,Manipur,222,632084.0,2847.225225225225
2023,Q1,Maharashtra,112174,166596248.0,1485.159199101396
2023,Q1,Dadra & Nagar Haveli & Daman & Diu,799,1215168.0,1520.8610763454317
