State,District,Year,Quarter,Count,Amount,Average Transaction
Arunachal Pradesh,Dibang Valley,2018,Q3,29,196466.66696677107,6774.712654026588
Arunachal Pradesh,West Kameng,2018,Q3,17026,48528147.45054105,2850.2377217515004
Arunachal Pradesh,East Siang,2018,Q3,10539,24885270.773230057,2361.2554106869775
Arunachal Pradesh,Upper Subansiri,2018,Q3,1601,4223297.613673143,2637.9123133498706
Arunachal Pradesh,East Kameng,2018,Q3,1029,3132863.590645522,3044.5710307536656
Arunachal Pradesh,Lohit,2018,Q3,11595,32702331.664437763,2820.382204781178
Arunachal Pradesh,Lepa Rada,2018,Q3,523,1777602.4370017413,3398.8574321257
Arunachal Pradesh,Tawang,2018,Q3,8715,25733824.994109266,2952.8198501559687
Arunachal Pradesh,Namsai,2018,Q3,5076,10698272.774381302,2107.6187498781132
Arunachal Pradesh,Lower Dibang Valley,2018,Q4,4227,10951332.393937869,2590.80491931343
Arunachal Pradesh,Lower Subansiri,2018,Q4,3735,8884930.591487257,2378.8301449765077
Arunachal Pradesh,Longding,2018,Q4,6581,22545311.85089966,3425.8185459504116
Arunachal Pradesh,West Siang,2018,Q4,3813,14013986.244825875,3675.3176619003084
Arunachal Pradesh,Kamle,2018,Q4,247,361497.05682825705,1463.5508373613645
Arunachal Pradesh,Upper Siang,2018,Q4,1041,2157332.9473089008,2072.3659436204616
Arunachal Pradesh,Tirap,2018,Q4,5725,10811742.670586085,1888.5140035958227
Arunachal Pradesh,Papum Pare,2018,Q4,55224,154875448.20778143,2804.495295664592
Arunachal Pradesh,Kurung Kumey,2018,Q4,444,759686.7195777439,1711.006125175099
Arunachal Pradesh,Anjaw,2018,Q4,273,495578.19942643447,1815.3047598037892
Arunachal Pradesh,Siang,2018,Q4,822,2176630.237443937,2647.968658690921
Arunachal Pradesh,Lower Siang,2018,Q4,2883,4533291.201383284,1572.4215058561513
Arunachal Pradesh,Kra Daadi,2018,Q4,750,3254327.442489025,4339.103256652033
Arunachal Pradesh,Changlang,2018,Q4,13950,32343047.413952358,2318.4980225055456
Arunachal Pradesh,Pakke Kessang,2018,Q4,297,462143.5189972004,1556.0387845023583
Arunachal Pradesh,Dibang Valley,2018,Q4,40,97205.28808666342,2430.1322021665856
Arunachal Pradesh,West Kameng,2018,Q4,25439,89194886.84322134,3506.226142663679
Arunachal Pradesh,Shi Yomi,2018,Q4,61,42483.80153055695,696.4557627960156
Arunachal Pradesh,East Siang,2018,Q4,12893,34272134.344916776,2658.1970328796074
Arunachal Pradesh,Upper Subansiri,2018,Q4,2686,8771042.079749444,3265.466150316249
Arunachal Pradesh,East Kameng,2018,Q4,1750,5936855.710462087,3392.4889774069065
Arunachal Pradesh,Lohit,2018,Q4,14268,40510521.949797615,2839.25721543297
Arunachal Pradesh,Lepa Rada,2018,Q4,932,3023578.1893019043,3244.1826065471078
Arunachal Pradesh,Tawang,2018,Q4,11104,35921510.89403269,3235.006384549053
Arunachal Pradesh,Namsai,2018,Q4,7244,17643523.29373534,2435.605093005983
Arunachal Pradesh,Lower Dibang Valley,2019,Q1,6314,13738776.18143886,2175.9227401708677
Arunachal Pradesh,Lower Subansiri,2019,Q1,4994,12615032.122891838,2526.037669782106
Arunachal Pradesh,Longding,2019,Q1,7287,25349462.055245366,3478.7240366742644
Arunachal Pradesh,West Siang,2019,Q1,5921,19426751.301233895,3280.991606356003
Arunachal Pradesh,Kamle,2019,Q1,391,725807.1059240355,1856.2841583734923
Arunachal Pradesh,Upper Siang,2019,Q1,1154,2756678.3077581595,2388.802693031334
Arunachal Pradesh,Tirap,2019,Q1,6877,14075747.836402504,2046.7860748004223
Arunachal Pradesh,Papum Pare,2019,Q1,70941,188556716.3567257,2657.9371076912603
Arunachal Pradesh,Kurung Kumey,2019,Q1,740,2076644.1215012982,2806.275839866619
Arunachal Pradesh,Anjaw,2019,Q1,2116,4643030.795590812,2194.2489582187204
Arunachal Pradesh,Siang,2019,Q1,1282,2552682.037255951,1991.171635925079
Arunachal Pradesh,Lower Siang,2019,Q1,3565,6923301.927893572,1942.020176127229
Arunachal Pradesh,Kra Daadi,2019,Q1,1070,3797175.4842446605,3548.762134808094
Arunachal Pradesh,Changlang,2019,Q1,17589,40239141.669717625,2287.7447080401175
Arunachal Pradesh,Pakke Kessang,2019,Q1,545,1682922.8373646357,3087.9318116782306
Arunachal Pradesh,Dibang Valley,2019,Q1,102,301591.38639926765,2956.7782980320358
Arunachal Pradesh,West Kameng,2019,Q1,34289,101333633.67604163,2955.2811011123576
Arunachal Pradesh,Shi Yomi,2019,Q1,19,212989.63045272,11209.980550143158
Arunachal Pradesh,East Siang,2019,Q1,15621,39284373.05409969,2514.8436754432933
Arunachal Pradesh,Upper Subansiri,2019,Q1,3880,14105451.853243299,3635.425735371984
Arunachal Pradesh,East Kameng,2019,Q1,2688,9107597.731491327,3388.243203679809
Arunachal Pradesh,Lohit,2019,Q1,15896,42834776.778045304,2694.689027305316
Arunachal Pradesh,Lepa Rada,2019,Q1,1523,4054526.308789035,2662.197182395952
Arunachal Pradesh,Tawang,2019,Q1,13102,39489779.13784294,3014.026800323839
Arunachal Pradesh,Namsai,2019,Q1,8600,20065516.616355177,2333.1996065529274
Arunachal Pradesh,Lower Dibang Valley,2019,Q2,5819,13737167.7479776,2360.7437270970267
Arunachal Pradesh,Lower Subansiri,2019,Q2,5579,14746949.652010633,2643.2962272827804
Arunachal Pradesh,Longding,2019,Q2,6744,23464027.892812617,3479.244942587873
Arunachal Pradesh,West Siang,2019,Q2,8041,24549832.977181494,3053.0820765055955
Arunachal Pradesh,Kamle,2019,Q2,414,1136776.6962042823,2745.8374304451263
Arunachal Pradesh,Upper Siang,2019,Q2,1079,3993676.3296563537,3701.27556038587
Arunachal Pradesh,Tirap,2019,Q2,6868,18633793.43372325,2713.132416092494
Arunachal Pradesh,Papum Pare,2019,Q2,86433,246640891.34861866,2853.5500485765697
Arunachal Pradesh,Kurung Kumey,2019,Q2,1427,4036511.9338615797,2828.669890582747
Arunachal Pradesh,Anjaw,2019,Q2,2473,5220589.920801567,2111.0351479181427
Arunachal Pradesh,Siang,2019,Q2,1654,5373179.351887872,3248.596947937045
Arunachal Pradesh,Lower Siang,2019,Q2,3791,7075961.239041175,1866.5157581221774
Arunachal Pradesh,Kra Daadi,2019,Q2,1447,4315353.218765283,2982.275894101785
Arunachal Pradesh,Changlang,2019,Q2,18631,48891048.26477764,2624.1773530555333
Arunachal Pradesh,Pakke Kessang,2019,Q2,687,1750138.0587616218,2547.5080913560723
Arunachal Pradesh,Dibang Valley,2019,Q2,98,214966.6162180208,2193.536900183886
Arunachal Pradesh,West Kameng,2019,Q2,37430,122521180.75595039,3273.3417247114717
Arunachal Pradesh,Shi Yomi,2019,Q2,13,65209.39364354455,5016.107203349581
Arunachal Pradesh,East Siang,2019,Q2,16494,46549881.23941852,2822.231189488209
Arunachal Pradesh,Upper Subansiri,2019,Q2,4827,18395806.566284098,3811.0226986293965
Arunachal Pradesh,East Kameng,2019,Q2,2309,8996397.735290494,3896.231154305108
Arunachal Pradesh,Lohit,2019,Q2,18693,48893746.831022196,2615.6179763024766
Arunachal Pradesh,Lepa Rada,2019,Q2,2108,5045595.906781289,2393.5464453421673
Arunachal Pradesh,Tawang,2019,Q2,15960,55915834.5871187,3503.4984077142044
Arunachal Pradesh,Namsai,2019,Q2,9637,22491356.65721929,2333.8545872386935
Arunachal Pradesh,Lower Dibang Valley,2019,Q3,8405,15177864.63915902,1805.81375837704
Arunachal Pradesh,Lower Subansiri,2019,Q3,8828,21059967.49943525,2385.5876188757647
Arunachal Pradesh,Longding,2019,Q3,10269,26620415.01923828,2592.3084058076033
Arunachal Pradesh,West Siang,2019,Q3,11889,30014806.816802975,2524.586324905625
Arunachal Pradesh,Kamle,2019,Q3,677,968784.5134103607,1430.996327046323
Arunachal Pradesh,Upper Siang,2019,Q3,1419,3927440.4417752204,2767.752249313052
Arunachal Pradesh,Tirap,2019,Q3,11249,21737827.19336869,1932.423077017396
Arunachal Pradesh,Papum Pare,2019,Q3,117940,301518075.7016427,2556.5378641821494
Arunachal Pradesh,Kurung Kumey,2019,Q3,1579,3674797.099413435,2327.293919831181
Arunachal Pradesh,Anjaw,2019,Q3,4230,9665384.074972186,2284.9607742251033
Arunachal Pradesh,Siang,2019,Q3,2640,6888800.898705382,2609.3942798126445
Arunachal Pradesh,Lower Siang,2019,Q3,5348,9507511.569068512,1777.7695529297891
Arunachal Pradesh,Kra Daadi,2019,Q3,2187,5520848.186492377,2524.3933180120607
Arunachal Pradesh,Changlang,2019,Q3,29218,58354823.443366826,1997.2216935918552
Arunachal Pradesh,Pakke Kessang,2019,Q3,977,2145842.2925678995,2196.358538964073
