Year,Quarter,State,District,Registered Users,App Opens,Average Opens
2018,Q4,Arunachal Pradesh,West Kameng,6492,0,0.0
2018,Q4,Arunachal Pradesh,Shi Yomi,144,0,0.0
2018,Q4,Arunachal Pradesh,East Kameng,691,0,0.0
2018,Q4,Arunachal Pradesh,Lohit,3588,0,0.0
2018,Q4,Arunachal Pradesh,Lepa Rada,548,0,0.0
2018,Q4,Arunachal Pradesh,Lower Dibang Valley,1827,0,0.0
2018,Q4,Arunachal Pradesh,Longding,923,0,0.0
2018,Q4,Arunachal Pradesh,West Siang,2117,0,0.0
2018,Q4,Arunachal Pradesh,Kamle,109,0,0.0
2018,Q4,Arunachal Pradesh,Upper Siang,868,0,0.0
2018,Q4,Arunachal Pradesh,Kurung Kumey,321,0,0.0
2018,Q4,Arunachal Pradesh,Siang,483,0,0.0
2018,Q4,Arunachal Pradesh,Kra Daadi,255,0,0.0
2018,Q4,Arunachal Pradesh,Changlang,4036,0,0.0
2018,Q4,Arunachal Pradesh,Pakke Kessang,138,0,0.0
2018,Q4,Arunachal Pradesh,East Siang,4813,0,0.0
2018,Q4,Arunachal Pradesh,Upper Subansiri,1576,0,0.0
2018,Q4,Arunachal Pradesh,Tawang,4085,0,0.0
2018,Q4,Arunachal Pradesh,Namsai,2495,0,0.0
2019,Q1,Arunachal Pradesh,Lower Subansiri,1879,0,0.0
2019,Q1,Arunachal Pradesh,Tirap,2082,0,0.0
2019,Q1,Arunachal Pradesh,Papum Pare,26298,0,0.0
2019,Q1,Arunachal Pradesh,Anjaw,934,0,0.0
2019,Q1,Arunachal Pradesh,Lower Siang,1123,0,0.0
2019,Q1,Arunachal Pradesh,Dibang Valley,211,0,0.0
2019,Q1,Arunachal Pradesh,West Kameng,8115,0,0.0
2019,Q1,Arunachal Pradesh,Shi Yomi,186,0,0.0
2019,Q1,Arunachal Pradesh,East Kameng,876,0,0.0
2019,Q1,Arunachal Pradesh,Lohit,4416,0,0.0
2019,Q1,Arunachal Pradesh,Lepa Rada,710,0,0.0
2019,Q1,Arunachal Pradesh,Lower Dibang Valley,2314,0,0.0
2019,Q1,Arunachal Pradesh,Longding,1152,0,0.0
2019,Q1,Arunachal Pradesh,West Siang,2656,0,0.0
2019,Q1,Arunachal Pradesh,Kamle,141,0,0.0
2019,Q1,Arunachal Pradesh,Upper Siang,1125,0,0.0
2019,Q1,Arunachal Pradesh,Kurung Kumey,385,0,0.0
2019,Q1,Arunachal Pradesh,Siang,651,0,0.0
2019,Q1,Arunachal Pradesh,Kra Daadi,350,0,0.0
2019,Q1,Arunachal Pradesh,Changlang,5210,0,0.0
2019,Q1,Arunachal Pradesh,Pakke Kessang,162,0,0.0
2019,Q1,Arunachal Pradesh,East Siang,5899,0,0.0
2019,Q1,Arunachal Pradesh,Upper Subansiri,1906,0,0.0
2019,Q1,Arunachal Pradesh,Tawang,5023,0,0.0
2019,Q1,Arunachal Pradesh,Namsai,3153,0,0.0
2019,Q2,Arunachal Pradesh,Lower Subansiri,2463,11644,4.727568006496143
2019,Q2,Arunachal Pradesh,Tirap,2697,12779,4.738227660363367
2019,Q2,Arunachal Pradesh,Papum Pare,32800,163673,4.990030487804878
2019,Q2,Arunachal Pradesh,Anjaw,1175,4993,4.2493617021276595
2019,Q2,Arunachal Pradesh,Lower Siang,1457,7737,5.3102264927934115
