Year,Quarter,State,Count,Amount,Average Transaction
2019,Q1,Puducherry,501092,906473024.3065231,1808.9952030894988
2019,Q1,Tamil Nadu,32275045,56204036816.128555,1741.4084725870578
2019,Q1,Uttar Pradesh,57324504,76524180134.0167,1334.929651271238
2019,Q1,Madhya Pradesh,37301049,48070279522.04201,1288.7111974261638
2019,Q1,Andhra Pradesh,57264522,83760595917.0792,1462.6961509794703
2019,Q1,Tripura,580926,756894941.6158216,1302.911113663051
2019,Q1,Lakshadweep,2481,8786130.479338994,3541.3665777263177
2019,Q1,Manipur,265409,659898060.4240801,2486.343946226692
2019,Q1,Maharashtra,75079069,111420690920.33997,1484.0446532486967
2019,Q1,Dadra & Nagar Haveli & Daman & Diu,661814,843369776.0499002,1274.330515900087
2019,Q1,Meghalaya,208741,399037162.15343595,1911.6376857130892
2019,Q1,Andaman & Nicobar Islands,30486,102299740.67348987,3355.6301473951935
2019,Q1,Haryana,22135775,34051655721.631077,1538.308720685455
2019,Q1,Rajasthan,43956040,61141158575.55252,1390.9614827803532
2019,Q1,Ladakh,46145,152859920.9491272,3312.599868872623
2019,Q1,Punjab,7172137,13574490001.853222,1892.6702044109338
2019,Q1,Assam,4533005,8002099536.451059,1765.2968696154228
2019,Q1,Jharkhand,9387708,13627236449.278034,1451.6042093850847
2019,Q1,Odisha,34031942,35427127930.698456,1040.9963654351097
2019,Q1,Bihar,26356234,41502827514.52612,1574.6873212055305
2019,Q1,Kerala,6469039,10235031134.849785,1582.1563504022445
2019,Q1,Karnataka,86587609,117976382145.74966,1362.5088336340325
2019,Q1,Chandigarh,1274476,2396032050.444029,1880.0134725518792
2019,Q1,Telangana,65290702,95523262035.66321,1463.0454124335072
2019,Q1,Himachal Pradesh,2168718,3381481442.991081,1559.2075332021411
2019,Q1,West Bengal,47626388,50164672623.87851,1053.2957616663793
2019,Q1,Gujarat,24991451,35856080308.47724,1434.7338339209373
2019,Q1,Sikkim,240287,457993634.3840939,1906.0275186926212
2019,Q1,Nagaland,168579,441941712.41233104,2621.5703759799917
2019,Q1,Mizoram,70306,218160895.39740258,3103.01959146307
2019,Q1,Chhattisgarh,7887669,12544556385.328796,1590.400964509134
2019,Q1,Jammu & Kashmir,3584987,5951835476.521047,1660.211174132862
2019,Q1,Goa,738812,1475323397.276577,1996.886078294041
2019,Q1,Arunachal Pradesh,226506,609950106.3139492,2692.865117541916
2019,Q1,Delhi,47007327,58469131789.49733,1243.830175442593
2019,Q1,Uttarakhand,5546001,7183529175.274033,1295.2628705393367
2019,Q2,Puducherry,580077,1211446910.127807,2088.4243128546846
2019,Q2,Tamil Nadu,32171737,64207676025.75553,1995.7789666674053
2019,Q2,Uttar Pradesh,58883500,98917519370.67831,1679.8851863540433
2019,Q2,Madhya Pradesh,40846013,68334566380.56182,1672.9800869563896
2019,Q2,Andhra Pradesh,56409015,113634518758.22931,2014.474437432196
2019,Q2,Tripura,532558,841821482.8473747,1580.7132422146972
2019,Q2,Lakshadweep,2926,9242524.13698889,3158.7573947330447
2019,Q2,Manipur,257425,722789942.1495004,2807.769028452949
2019,Q2,Maharashtra,101149853,153294470088.05945,1515.5184663299456
2019,Q2,Dadra & Nagar Haveli & Daman & Diu,489656,824441276.56507,1683.715254311333
2019,Q2,Meghalaya,232286,492931289.1072781,2122.087810316929
2019,Q2,Andaman & Nicobar Islands,33689,120254709.6756632,3569.5541475159016
2019,Q2,Haryana,22741816,42501539813.21669,1868.8718532071796
2019,Q2,Rajasthan,50009286,89107313172.66756,1781.815344707532
