State,District,Year,Quarter,Count,Amount,Average Transaction
Andhra Pradesh,Prakasam,2021,Q3,1050,877683.0,835.8885714285715
Andhra Pradesh,Anantapur,2021,Q3,1329,1311735.0,987.0090293453725
Andhra Pradesh,Ysr,2021,Q3,1137,1033282.0,908.7792436235708
Andhra Pradesh,West Godavari,2021,Q3,1452,1216098.0,837.5330578512396
Andhra Pradesh,Kurnool,2021,Q3,1027,796678.0,775.7332035053554
Andhra Pradesh,Chittoor,2021,Q3,1991,1995617.0,1002.318935208438
Andhra Pradesh,Guntur,2021,Q3,2519,2102143.0,834.514886859865
Andhra Pradesh,Krishna,2021,Q3,3258,2722279.0,835.5675260896255
Andhra Pradesh,East Godavari,2021,Q4,2532,3543718.0,1399.5726698262242
Andhra Pradesh,Srikakulam,2021,Q4,1116,1152210.0,1032.4462365591398
Andhra Pradesh,Spsr Nellore,2021,Q4,2369,2345876.0,990.2389193752638
Andhra Pradesh,Vizianagaram,2021,Q4,924,916336.0,991.7056277056278
Andhra Pradesh,Visakhapatnam,2021,Q4,4176,5425896.0,1299.3045977011495
Andhra Pradesh,Prakasam,2021,Q4,1181,1328774.0,1125.12616426757
Andhra Pradesh,Anantapur,2021,Q4,1322,2101400.0,1589.5612708018155
Andhra Pradesh,Ysr,2021,Q4,1449,1479933.0,1021.3478260869565
Andhra Pradesh,West Godavari,2021,Q4,1262,1853561.0,1468.7488114104597
Andhra Pradesh,Kurnool,2021,Q4,910,1306288.0,1435.4813186813187
Andhra Pradesh,Chittoor,2021,Q4,2444,3100521.0,1268.6256137479543
Andhra Pradesh,Guntur,2021,Q4,2709,3214794.0,1186.7087486157254
Andhra Pradesh,Krishna,2021,Q4,3029,3841028.0,1268.084516342027
Andhra Pradesh,East Godavari,2022,Q1,3605,5199664.0,1442.3478502080443
Andhra Pradesh,Srikakulam,2022,Q1,1004,1393633.0,1388.0806772908365
Andhra Pradesh,Spsr Nellore,2022,Q1,1878,2608475.0,1388.964323748669
Andhra Pradesh,Vizianagaram,2022,Q1,949,1344329.0,1416.5742887249737
Andhra Pradesh,Visakhapatnam,2022,Q1,5196,6953446.0,1338.2305619707467
Andhra Pradesh,Prakasam,2022,Q1,1797,2181402.0,1213.9131886477462
Andhra Pradesh,Anantapur,2022,Q1,1551,2556602.0,1648.3571889103805
Andhra Pradesh,Ysr,2022,Q1,1439,2086496.0,1449.9624739402364
Andhra Pradesh,West Godavari,2022,Q1,1991,3109555.0,1561.8056253139125
Andhra Pradesh,Kurnool,2022,Q1,995,1641988.0,1650.2391959798995
Andhra Pradesh,Chittoor,2022,Q1,2887,4304499.0,1490.9937651541393
Andhra Pradesh,Guntur,2022,Q1,2748,3988284.0,1451.340611353712
Andhra Pradesh,Krishna,2022,Q1,3914,5279784.0,1348.9483903934595
Andhra Pradesh,East Godavari,2022,Q2,3103,3899091.0,1256.5552690944248
Andhra Pradesh,Srikakulam,2022,Q2,946,1282760.0,1355.983086680761
Andhra Pradesh,Spsr Nellore,2022,Q2,2063,2686947.0,1302.4464372273387
Andhra Pradesh,Vizianagaram,2022,Q2,1145,1412957.0,1234.0235807860263
Andhra Pradesh,Visakhapatnam,2022,Q2,5851,7046107.0,1204.2568791659546
Andhra Pradesh,Prakasam,2022,Q2,1962,2331922.0,1188.5433231396535
Andhra Pradesh,Anantapur,2022,Q2,1794,2729962.0,1521.7179487179487
Andhra Pradesh,Ysr,2022,Q2,1418,1920103.0,1354.0923836389281
Andhra Pradesh,West Godavari,2022,Q2,2141,2903957.0,1356.3554413825316
Andhra Pradesh,Kurnool,2022,Q2,1233,1573534.0,1276.183292781833
Andhra Pradesh,Chittoor,2022,Q2,2836,4207850.0,1483.7270803949225
Andhra Pradesh,Guntur,2022,Q2,3115,3979873.0,1277.6478330658106
Andhra Pradesh,Krishna,2022,Q2,4578,5733009.0,1252.2955439056357
Andhra Pradesh,East Godavari,2022,Q3,4355,5505134.0,1264.0950631458095
Andhra Pradesh,Srikakulam,2022,Q3,1079,1444643.0,1338.8721037998146
Andhra Pradesh,Spsr Nellore,2022,Q3,2593,3257610.0,1256.30929425376
Andhra Pradesh,Vizianagaram,2022,Q3,1270,1573445.0,1238.9330708661416
Andhra Pradesh,Visakhapatnam,2022,Q3,6720,7779967.0,1157.7331845238095
Andhra Pradesh,Prakasam,2022,Q3,2137,2552054.0,1194.2227421619093
Andhra Pradesh,Anantapur,2022,Q3,1934,2719786.0,1406.3009307135471
Andhra Pradesh,Ysr,2022,Q3,1892,2559169.0,1352.6263213530656
Andhra Pradesh,West Godavari,2022,Q3,2314,3113617.0,1345.556179775281
Andhra Pradesh,Kurnool,2022,Q3,1318,1720753.0,1305.5789074355084
Andhra Pradesh,Chittoor,2022,Q3,3729,5145111.0,1379.7562349155269
Andhra Pradesh,Guntur,2022,Q3,4431,5271211.0,1189.6210787632588
Andhra Pradesh,Krishna,2022,Q3,5529,6149431.0,1112.2139627419062
Andhra Pradesh,East Godavari,2022,Q4,4450,5856052.0,1315.9667415730337
Andhra Pradesh,Srikakulam,2022,Q4,1294,1623449.0,1254.597372488408
Andhra Pradesh,Spsr Nellore,2022,Q4,2733,3658896.0,1338.7837541163556
Andhra Pradesh,Vizianagaram,2022,Q4,1373,1680979.0,1224.3109978150037
Andhra Pradesh,Visakhapatnam,2022,Q4,7636,9911879.0,1298.045966474594
Andhra Pradesh,Prakasam,2022,Q4,2400,2848596.0,1186.915
Andhra Pradesh,Anantapur,2022,Q4,2425,3710468.0,1530.0898969072166
Andhra Pradesh,Ysr,2022,Q4,2261,2993022.0,1323.7602830605927
Andhra Pradesh,West Godavari,2022,Q4,2623,3513389.0,1339.4544414792222
Andhra Pradesh,Kurnool,2022,Q4,1810,2859172.0,1579.653038674033
Andhra Pradesh,Chittoor,2022,Q4,4641,6166050.0,1328.6037491919844
Andhra Pradesh,Guntur,2022,Q4,5199,6244165.0,1201.031929217157
Andhra Pradesh,Krishna,2022,Q4,5484,6977122.0,1272.2687819110138
Andhra Pradesh,East Godavari,2023,Q1,4069,5915626.0,1453.827967559597
Andhra Pradesh,Srikakulam,2023,Q1,1100,1628429.0,1480.39
Andhra Pradesh,Spsr Nellore,2023,Q1,2461,3621734.0,1471.6513612352703
Andhra Pradesh,Vizianagaram,2023,Q1,1104,1619607.0,1467.0353260869565
Andhra Pradesh,Visakhapatnam,2023,Q1,6752,9502319.0,1407.3339751184835
Andhra Pradesh,Prakasam,2023,Q1,1437,2188369.0,1522.8733472512179
Andhra Pradesh,Anantapur,2023,Q1,1565,2882540.0,1841.8785942492013
Andhra Pradesh,Ysr,2023,Q1,1509,2235497.0,1481.442677269715
Andhra Pradesh,West Godavari,2023,Q1,2196,3370241.0,1534.7181238615665
Andhra Pradesh,Kurnool,2023,Q1,1208,2088411.0,1728.8170529801325
