Year,Quarter,State,Registered Users,App Opens,Average Opens
2020,Q2,Manipur,215496,3011491,13.974695585996956
2020,Q2,Maharashtra,28765086,506354812,17.603104402329965
2020,Q2,Dadra & Nagar Haveli & Daman & Diu,244814,4505127,18.402244152703684
2020,Q2,Meghalaya,136211,2205253,16.189977314607486
2020,Q2,Andaman & Nicobar Islands,32710,305072,9.326566799143993
2020,Q2,Haryana,7682878,143650123,18.69743642942137
2020,Q2,Rajasthan,13563201,329941181,24.326203010631488
2020,Q2,Ladakh,53034,695673,13.117490666364974
2020,Q2,Punjab,4225481,51289576,12.13816273224279
2020,Q2,Assam,2550883,39304924,15.408360163911869
2020,Q2,Jharkhand,4061035,76339276,18.797985242678283
2020,Q2,Odisha,7258315,154682772,21.311113116474
2020,Q2,Bihar,10603767,218435035,20.59975808597077
2020,Q2,Kerala,4728844,45832953,9.692210823617781
2020,Q2,Karnataka,18655366,490510075,26.293243188045736
2020,Q2,Chandigarh,336351,3451250,10.260858448466037
2020,Q2,Telangana,13378191,367130505,27.44246251230828
2020,Q2,Himachal Pradesh,1249867,16125580,12.901836755430779
2020,Q2,West Bengal,13222022,198589332,15.019588683183253
2020,Q2,Gujarat,11392657,155264359,13.628459015311353
2020,Q2,Sikkim,119921,1912335,15.946623193602456
2020,Q2,Nagaland,130205,2119279,16.276479397872585
2020,Q2,Mizoram,55574,739308,13.30312736171591
2020,Q2,Chhattisgarh,3401658,68493384,20.13529402426699
2020,Q2,Jammu & Kashmir,845294,9856653,11.660621038360619
2020,Q2,Goa,430639,5310126,12.330806081195618
2020,Q2,Arunachal Pradesh,177534,3387006,19.07806955287438
2020,Q2,Delhi,8391139,142852253,17.024179077476848
2020,Q2,Uttarakhand,2148567,31074793,14.463031871940693
2020,Q3,Puducherry,285173,4222159,14.80560572003661
2020,Q3,Tamil Nadu,13643451,194683284,14.269357803974962
2020,Q3,Uttar Pradesh,24838116,450784508,18.148900987498408
2020,Q3,Madhya Pradesh,12564224,324850994,25.855237378766887
2020,Q3,Andhra Pradesh,15692405,696300382,44.37180801795518
2020,Q3,Tripura,376731,5777908,15.336959262709998
2020,Q3,Lakshadweep,3644,32128,8.81668496158068
2020,Q3,Manipur,258563,3552375,13.738914693904388
2020,Q3,Maharashtra,31409513,668197101,21.273717328886953
2020,Q3,Dadra & Nagar Haveli & Daman & Diu,267946,4421499,16.50145551715644
2020,Q3,Meghalaya,157741,2384534,15.116767359152028
2020,Q3,Andaman & Nicobar Islands,41335,515565,12.472843836942058
2020,Q3,Haryana,8398816,188614769,22.457304577216597
2020,Q3,Rajasthan,14969412,436682870,29.171678219558657
2020,Q3,Ladakh,58401,1015680,17.391483022550982
2020,Q3,Punjab,4694233,58946732,12.557265904781463
2020,Q3,Assam,2830011,41875278,14.796860506902624
2020,Q3,Jharkhand,4480027,99318784,22.16923781932564
2020,Q3,Odisha,7901755,205597666,26.01924078891335
2020,Q3,Bihar,11763213,266652644,22.668351240430656
2020,Q3,Kerala,5582300,64309022,11.520165881446715
2020,Q3,Karnataka,20487550,693683212,33.858768471583964
2020,Q3,Chandigarh,362588,4888739,13.482903460677132
2020,Q3,Telangana,14590882,527781925,36.172037098237105
2020,Q3,Himachal Pradesh,1378634,18411750,13.35506740730317
2020,Q3,West Bengal,14448366,246554831,17.06454771425364
2020,Q3,Gujarat,12467847,184402472,14.790241811597463
2020,Q3,Sikkim,134773,2156470,16.00075682814807
2020,Q3,Nagaland,173106,2868642,16.57159197254861
2020,Q3,Mizoram,68315,924865,13.538241967357095
2020,Q3,Chhattisgarh,3799386,86918606,22.877013812231766
2020,Q3,Jammu & Kashmir,949819,11443454,12.048036520642354
2020,Q3,Goa,474962,6129766,12.905802990555033
2020,Q3,Arunachal Pradesh,206046,4003421,19.42974384360774
2020,Q3,Delhi,9044174,190025029,21.01076659958112
2020,Q3,Uttarakhand,2365438,40377348,17.069713093304497
2020,Q4,Puducherry,319626,6377136,19.951868746597587
2020,Q4,Tamil Nadu,15357586,288233552,18.768154838918043
2020,Q4,Uttar Pradesh,27249134,552220798,20.265627450765958
2020,Q4,Madhya Pradesh,13737947,405571446,29.521983597694764
2020,Q4,Andhra Pradesh,17076565,869078538,50.89305360884932
2020,Q4,Tripura,409110,6017249,14.708144508811811
2020,Q4,Lakshadweep,4179,41144,9.845417564010528
2020,Q4,Manipur,288772,3783432,13.101796573074951
2020,Q4,Maharashtra,34432631,952006770,27.648388820476715
2020,Q4,Dadra & Nagar Haveli & Daman & Diu,296493,6196436,20.899097111904833
2020,Q4,Meghalaya,176447,2745917,15.562276490957625
2020,Q4,Andaman & Nicobar Islands,52396,887208,16.93274295747767
2020,Q4,Haryana,9129873,236101307,25.86030572385837
2020,Q4,Rajasthan,16329494,511015109,31.293995331392388
2020,Q4,Ladakh,64853,1232757,19.00848071793132
2020,Q4,Punjab,5157868,71191183,13.802443761647254
2020,Q4,Assam,3106153,49321814,15.87874583125815
2020,Q4,Jharkhand,4917938,126310835,25.683698127141902
2020,Q4,Odisha,8598751,270085293,31.40982835763008
2020,Q4,Bihar,12889833,317056600,24.597417204706996
2020,Q4,Kerala,6387169,91415273,14.312330392385109
2020,Q4,Karnataka,22400182,935510690,41.763530760598286
2020,Q4,Chandigarh,391402,6477974,16.55069212727579
2020,Q4,Telangana,15927797,764614235,48.00502134727106
2020,Q4,Himachal Pradesh,1508766,22001148,14.58221354404858
2020,Q4,West Bengal,15662093,291721919,18.62598562018499
2020,Q4,Gujarat,13605203,230497353,16.941853274809645
2020,Q4,Sikkim,148543,2478670,16.686548676140916
2020,Q4,Nagaland,192188,2922121,15.204492476117135
2020,Q4,Mizoram,78731,1096182,13.923130660095769
2020,Q4,Chhattisgarh,4190601,109900467,26.2254667051337
2020,Q4,Jammu & Kashmir,1079022,16018751,14.845620385867944
2020,Q4,Goa,527584,10991118,20.83292518347789
2020,Q4,Arunachal Pradesh,231292,4472667,19.337750549089463
2020,Q4,Delhi,9747968,243433752,24.972768888859708
2020,Q4,Uttarakhand,2596244,52564888,20.246513039606448
2021,Q1,Puducherry,346279,7914507,22.855867667401142
2021,Q1,Tamil Nadu,16632608,348801714,20.9709574108883
2021,Q1,Uttar Pradesh,29482075,639718324,21.69855154360743
2021,Q1,Madhya Pradesh,14839427,482500276,32.51475114234532
2021,Q1,Andhra Pradesh,18363733,957709447,52.15222019400957
2021,Q1,Tripura,439636,6009660,13.669626691171787
2021,Q1,Lakshadweep,4577,47283,10.330565872842474
2021,Q1,Manipur,312668,3709227,11.863148771220592
2021,Q1,Maharashtra,37077537,1101976484,29.72086533148089
2021,Q1,Dadra & Nagar Haveli & Daman & Diu,321396,7302462,22.72107306873763
2021,Q1,Meghalaya,190869,2939026,15.398131702895704
2021,Q1,Andaman & Nicobar Islands,57758,1004336,17.38869074413934
2021,Q1,Haryana,9827905,266686683,27.135659430977405
2021,Q1,Rajasthan,17661088,632535059,35.8151807521711
2021,Q1,Ladakh,69919,1184204,16.936798295170124
2021,Q1,Punjab,5568777,81052268,14.554769925245704
2021,Q1,Assam,3358448,56752364,16.89838997060547
2021,Q1,Jharkhand,5313049,141731331,26.676082038769074
2021,Q1,Odisha,9233009,301315474,32.63459117174044
2021,Q1,Bihar,13946288,355792608,25.511634923931013
2021,Q1,Kerala,6936943,108918733,15.701258176692528
2021,Q1,Karnataka,24095832,1084917385,45.025105794230306
2021,Q1,Chandigarh,419998,7919533,18.85612074343211
2021,Q1,Telangana,17149069,920040042,53.649562084099145
2021,Q1,Himachal Pradesh,1622951,24228094,14.928419896842234
2021,Q1,West Bengal,16808799,316832674,18.84921546149728
2021,Q1,Gujarat,14670126,264732874,18.04571235448148
2021,Q1,Sikkim,160213,2795331,17.447591643624424
2021,Q1,Nagaland,207808,2980581,14.342955997844165
2021,Q1,Mizoram,85750,1193214,13.915032069970845
2021,Q1,Chhattisgarh,4514551,124648704,27.610432133782517
2021,Q1,Jammu & Kashmir,1174818,18834009,16.03142699550058
2021,Q1,Goa,570035,15467672,27.134600506986413
2021,Q1,Arunachal Pradesh,251240,4796708,19.09213501034867
2021,Q1,Delhi,10467210,281201600,26.86500032004708
2021,Q1,Uttarakhand,2802122,59282260,21.15620233523023
2021,Q2,Puducherry,369961,5178916,13.998545792664633
2021,Q2,Tamil Nadu,17804542,343968474,19.319141935804918
2021,Q2,Uttar Pradesh,31651894,673598864,21.28147099190968
2021,Q2,Madhya Pradesh,15940935,727741649,45.652381682755745
2021,Q2,Andhra Pradesh,19620905,1044705436,53.24450814067954
2021,Q2,Tripura,472153,9500881,20.122462422138586
2021,Q2,Lakshadweep,4896,40301,8.23141339869281
2021,Q2,Manipur,335409,7269002,21.672054119000983
2021,Q2,Maharashtra,39664697,1208083592,30.457401250285614
2021,Q2,Dadra & Nagar Haveli & Daman & Diu,344994,5062983,14.675568270752535
2021,Q2,Meghalaya,205686,7290804,35.44628219713544
2021,Q2,Andaman & Nicobar Islands,62095,2248223,36.20618407279169
2021,Q2,Haryana,10530594,234052506,22.225954775200716
2021,Q2,Rajasthan,18980985,1072091232,56.482381288431554
2021,Q2,Ladakh,75048,4391632,58.51764204242618
2021,Q2,Punjab,5976548,85894089,14.371856295640894
2021,Q2,Assam,3617056,102003890,28.200804742862704
2021,Q2,Jharkhand,5701503,184234107,32.31325266337666
2021,Q2,Odisha,9891029,367576494,37.16261412235269
2021,Q2,Bihar,14972134,371198660,24.79263543860882
2021,Q2,Kerala,7416083,87814415,11.841077695597528
2021,Q2,Karnataka,25751023,1051089714,40.817396419551955
2021,Q2,Chandigarh,448572,4733924,10.553320314241638
2021,Q2,Telangana,18306880,905317692,49.452320220594665
2021,Q2,Himachal Pradesh,1743151,43269977,24.822850688207733
2021,Q2,West Bengal,17979979,275341466,15.31378128973343
2021,Q2,Gujarat,15735981,282432543,17.948200560231992
2021,Q2,Sikkim,171740,4541121,26.441836497030394
2021,Q2,Nagaland,223337,6716892,30.075142049906642
2021,Q2,Mizoram,92552,4014597,43.37666392946668
2021,Q2,Chhattisgarh,4837055,205784717,42.54338993457796
2021,Q2,Jammu & Kashmir,1261267,34274559,27.174705276519564
2021,Q2,Goa,609106,12710361,20.867239856445348
