Year,Quarter,State,District,Count,Amount,Average Transaction
2023,Q2,Bihar,Saran District,1273,1702530.0,1337.4155538098978
2023,Q2,Bihar,Samastipur District,1088,1604418.0,1474.6488970588234
2023,Q2,Bihar,Bhagalpur District,999,1448813.0,1450.2632632632633
2023,Q2,Bihar,Begusarai District,966,1389526.0,1438.4327122153209
2023,Q2,Bihar,Darbhanga District,929,1257052.0,1353.123789020452
2023,Q2,Bihar,Gaya District,918,1313271.0,1430.578431372549
2023,Q2,Bihar,Madhubani District,838,1209798.0,1443.673031026253
2023,Q3,Bihar,Patna District,10764,12203806.0,1133.7612411742846
2023,Q3,Bihar,Muzaffarpur District,2243,2653412.0,1182.974587605885
2023,Q3,Bihar,Vaishali District,1795,2299571.0,1281.0980501392758
2023,Q3,Bihar,Begusarai District,1431,1674507.0,1170.1656184486374
2023,Q3,Bihar,Saran District,1328,1885167.0,1419.5534638554218
2023,Q3,Bihar,Bhagalpur District,1261,1763671.0,1398.6288659793815
2023,Q3,Bihar,Gaya District,1231,1481362.0,1203.3809910641755
2023,Q3,Bihar,Samastipur District,1151,1505350.0,1307.8627280625542
2023,Q3,Bihar,Purnia District,1062,1373810.0,1293.6064030131827
2023,Q3,Bihar,Darbhanga District,973,1187853.0,1220.815005138746
2023,Q4,Bihar,Patna District,9152,12139703.0,1326.453562062937
2023,Q4,Bihar,Muzaffarpur District,2640,3487730.0,1321.1098484848485
2023,Q4,Bihar,Vaishali District,2076,2700720.0,1300.9248554913295
2023,Q4,Bihar,Bhagalpur District,1712,2382914.0,1391.8890186915887
2023,Q4,Bihar,Samastipur District,1650,2083069.0,1262.4660606060606
2023,Q4,Bihar,Begusarai District,1515,1920706.0,1267.7927392739273
2023,Q4,Bihar,Saran District,1474,2082626.0,1412.9077340569877
2023,Q4,Bihar,Gaya District,1459,2063105.0,1414.0541466758054
2023,Q4,Bihar,Darbhanga District,1385,1986204.0,1434.082310469314
2023,Q4,Bihar,Madhubani District,1261,1853704.0,1470.0269627279936
