Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2020,Q3,Andaman & Nicobar Islands,744103,21272,60332278.69396809,2836.2297242369355
2020,Q3,Andaman & Nicobar Islands,744105,17166,44061506.56273589,2566.7893838247637
2020,Q3,Andaman & Nicobar Islands,744102,13934,43077189.842844136,3091.5164233417636
2020,Q3,Andaman & Nicobar Islands,744202,5779,11975748.707876923,2072.2873694197824
2020,Q3,Andaman & Nicobar Islands,744107,4753,7628018.669464628,1604.8850556416216
2020,Q3,Andaman & Nicobar Islands,744104,3468,7353834.51320935,2120.4828469461795
2020,Q3,Andaman & Nicobar Islands,744112,3422,6067986.696111794,1773.2281403015177
2020,Q3,Andaman & Nicobar Islands,744301,3071,13352610.531559702,4347.9682616606
2020,Q3,Andaman & Nicobar Islands,744205,2991,7535645.788593667,2519.4402502820685
2020,Q4,Andaman & Nicobar Islands,744103,46884,138264791.5489212,2949.0826625057844
2020,Q4,Andaman & Nicobar Islands,744101,40392,136401368.02166596,3376.9401867118727
2020,Q4,Andaman & Nicobar Islands,744105,34410,87838226.93633425,2552.6947671123003
2020,Q4,Andaman & Nicobar Islands,744102,26694,76348598.32238364,2860.1407927767905
2020,Q4,Andaman & Nicobar Islands,744202,10949,25543799.074759968,2332.980096333909
2020,Q4,Andaman & Nicobar Islands,744107,9743,18083250.19055397,1856.0248579035174
2020,Q4,Andaman & Nicobar Islands,744104,7654,19126095.533284884,2498.836625723136
2020,Q4,Andaman & Nicobar Islands,744112,7016,15890275.050448488,2264.8624644310844
2020,Q4,Andaman & Nicobar Islands,744205,5118,12002695.281042248,2345.1925129039173
2020,Q4,Andaman & Nicobar Islands,744201,5011,6777275.536669218,1352.4796520992254
2021,Q1,Andaman & Nicobar Islands,744101,55726,190830957.0606181,3424.451011388187
2021,Q1,Andaman & Nicobar Islands,744103,47328,158404100.7854989,3346.9426298491144
2021,Q1,Andaman & Nicobar Islands,744105,35467,111571687.43195169,3145.788688977125
2021,Q1,Andaman & Nicobar Islands,744102,23957,80750048.8238959,3370.6244030511293
2021,Q1,Andaman & Nicobar Islands,744211,10648,34956327.94105429,3282.900820910433
2021,Q1,Andaman & Nicobar Islands,744202,10597,28127629.877961583,2654.301205809341
2021,Q1,Andaman & Nicobar Islands,744107,8848,19627951.469969153,2218.348945520926
2021,Q1,Andaman & Nicobar Islands,744104,8799,27854306.51949638,3165.621834242116
2021,Q1,Andaman & Nicobar Islands,744112,7113,21084790.0528014,2964.261219288823
2021,Q1,Andaman & Nicobar Islands,744301,5630,22671937.31314759,4026.9870893690213
2021,Q2,Andaman & Nicobar Islands,744101,73334,227585492.7414593,3103.4103245624037
2021,Q2,Andaman & Nicobar Islands,744103,66321,174752815.1688521,2634.9544664412792
2021,Q2,Andaman & Nicobar Islands,744105,52645,134835744.22049245,2561.226027552331
2021,Q2,Andaman & Nicobar Islands,744102,34289,100890426.76234055,2942.355471502247
2021,Q2,Andaman & Nicobar Islands,744202,16476,40647907.96960775,2467.0980802141144
2021,Q2,Andaman & Nicobar Islands,744107,14524,24690581.539094776,1699.9849586267403
2021,Q2,Andaman & Nicobar Islands,744104,11278,28333852.06159348,2512.3117628651785
2021,Q2,Andaman & Nicobar Islands,744211,10182,20377949.346094526,2001.3700005985588
2021,Q2,Andaman & Nicobar Islands,744112,9635,21637658.167199604,2245.735149683405
2021,Q2,Andaman & Nicobar Islands,744301,8463,27666837.39688266,3269.1524751131587
2021,Q3,Andaman & Nicobar Islands,744101,116324,388328168.7639693,3338.33231976178
