Year,Quarter,State,Pincode,Count,Amount,Average Transaction
2023,Q4,Assam,781001,261,328896.0,1260.1379310344828
2023,Q4,Assam,781028,256,377877.0,1476.08203125
2023,Q4,Assam,783380,242,370274.0,1530.0578512396694
2023,Q4,Assam,784001,215,354613.0,1649.3627906976744
2023,Q4,Assam,781025,213,250411.0,1175.6384976525821
2020,Q2,Bihar,800001,126,21331.0,169.29365079365078
2020,Q2,Bihar,800020,105,19710.0,187.71428571428572
2020,Q2,Bihar,800006,57,9978.0,175.05263157894737
2020,Q2,Bihar,801503,42,7212.0,171.71428571428572
2020,Q2,Bihar,851101,40,7248.0,181.2
2020,Q2,Bihar,845438,39,7637.0,195.82051282051282
2020,Q2,Bihar,845401,38,7520.0,197.89473684210526
2020,Q2,Bihar,800023,35,6460.0,184.57142857142858
2020,Q2,Bihar,852201,35,6150.0,175.71428571428572
2020,Q2,Bihar,851116,34,6046.0,177.8235294117647
2020,Q3,Bihar,800001,357,78191.0,219.02240896358543
2020,Q3,Bihar,800020,264,55025.0,208.4280303030303
2020,Q3,Bihar,845401,135,30537.0,226.2
2020,Q3,Bihar,800006,126,23361.0,185.4047619047619
2020,Q3,Bihar,842001,112,25875.0,231.02678571428572
2020,Q3,Bihar,812001,109,26403.0,242.22935779816513
2020,Q3,Bihar,844101,106,25813.0,243.5188679245283
2020,Q3,Bihar,801503,103,27115.0,263.252427184466
2020,Q3,Bihar,854301,99,21383.0,215.989898989899
2020,Q3,Bihar,802301,98,19569.0,199.68367346938774
2020,Q4,Bihar,800001,283,183251.0,647.530035335689
2020,Q4,Bihar,800020,263,182521.0,693.9961977186312
2020,Q4,Bihar,800006,147,89867.0,611.3401360544218
2020,Q4,Bihar,812001,101,69440.0,687.5247524752475
2020,Q4,Bihar,845401,98,53755.0,548.5204081632653
2020,Q4,Bihar,842001,90,54062.0,600.6888888888889
2020,Q4,Bihar,801503,89,60238.0,676.8314606741573
2020,Q4,Bihar,800007,83,64237.0,773.9397590361446
2020,Q4,Bihar,823001,81,50166.0,619.3333333333334
2020,Q4,Bihar,845438,81,41589.0,513.4444444444445
2021,Q1,Bihar,800001,393,228403.0,581.178117048346
2021,Q1,Bihar,800020,286,161357.0,564.1853146853147
2021,Q1,Bihar,800006,203,86155.0,424.4088669950739
2021,Q1,Bihar,845401,148,69335.0,468.47972972972974
2021,Q1,Bihar,823001,145,82025.0,565.6896551724138
2021,Q1,Bihar,845438,118,65310.0,553.4745762711865
2021,Q1,Bihar,823002,117,66383.0,567.3760683760684
2021,Q1,Bihar,848101,111,93902.0,845.9639639639639
2021,Q1,Bihar,842001,110,63789.0,579.9
2021,Q1,Bihar,802301,108,70464.0,652.4444444444445
2021,Q2,Bihar,800001,471,351926.0,747.1889596602972
2021,Q2,Bihar,800020,318,272869.0,858.0786163522013
2021,Q2,Bihar,800006,195,137348.0,704.348717948718
2021,Q2,Bihar,801503,144,140382.0,974.875
2021,Q2,Bihar,812001,142,144147.0,1015.1197183098592
2021,Q2,Bihar,845438,141,103042.0,730.7943262411347
2021,Q2,Bihar,800002,139,102063.0,734.2661870503597
2021,Q2,Bihar,842001,135,89214.0,660.8444444444444
2021,Q2,Bihar,845401,131,120903.0,922.9236641221374
2021,Q2,Bihar,843334,128,90410.0,706.328125
2021,Q3,Bihar,800001,622,539872.0,867.9614147909967
2021,Q3,Bihar,800020,457,355333.0,777.5339168490153
2021,Q3,Bihar,800006,302,225173.0,745.6059602649007
2021,Q3,Bihar,801503,236,208188.0,882.1525423728814
2021,Q3,Bihar,821115,223,135165.0,606.1210762331839
2021,Q3,Bihar,851131,210,145635.0,693.5
2021,Q3,Bihar,800002,210,186550.0,888.3333333333334
2021,Q3,Bihar,812001,205,218249.0,1064.629268292683
2021,Q3,Bihar,845438,195,145376.0,745.5179487179487
2021,Q3,Bihar,800007,187,148603.0,794.6684491978609
2021,Q4,Bihar,800001,766,735530.0,960.2219321148825
2021,Q4,Bihar,800020,700,613059.0,875.7985714285714
2021,Q4,Bihar,800006,369,298707.0,809.5040650406504
2021,Q4,Bihar,801503,278,363057.0,1305.9604316546763
2021,Q4,Bihar,842001,255,269520.0,1056.9411764705883
2021,Q4,Bihar,800002,250,276228.0,1104.912
2021,Q4,Bihar,844101,241,214665.0,890.7261410788382
2021,Q4,Bihar,823001,233,211852.0,909.2360515021459
2021,Q4,Bihar,800007,225,190952.0,848.6755555555555
2021,Q4,Bihar,812001,223,211107.0,946.6681614349776
2022,Q1,Bihar,800001,704,796836.0,1131.8693181818182
2022,Q1,Bihar,800020,479,448683.0,936.7077244258872
2022,Q1,Bihar,801503,311,467728.0,1503.9485530546624
2022,Q1,Bihar,811213,306,141104.0,461.12418300653593
2022,Q1,Bihar,800006,294,294999.0,1003.3979591836735
2022,Q1,Bihar,812001,243,284667.0,1171.469135802469
2022,Q1,Bihar,800007,215,234583.0,1091.0837209302326
2022,Q1,Bihar,842001,210,230416.0,1097.2190476190476
2022,Q1,Bihar,800026,188,223104.0,1186.723404255319
2022,Q1,Bihar,842002,184,257733.0,1400.7228260869565
2022,Q2,Bihar,800001,798,849952.0,1065.1027568922307
2022,Q2,Bihar,800020,568,534170.0,940.4401408450705
2022,Q2,Bihar,811213,499,220452.0,441.7875751503006
2022,Q2,Bihar,800006,364,351545.0,965.782967032967
2022,Q2,Bihar,801503,321,368015.0,1146.4641744548287
2022,Q2,Bihar,812001,251,332849.0,1326.0916334661354
2022,Q2,Bihar,846004,250,213376.0,853.504
2022,Q2,Bihar,842001,224,259723.0,1159.4776785714287
2022,Q2,Bihar,800002,222,254627.0,1146.9684684684685
2022,Q2,Bihar,800007,216,255536.0,1183.037037037037
2022,Q3,Bihar,800001,1202,1329988.0,1106.4792013311148
2022,Q3,Bihar,800020,714,796800.0,1115.9663865546217
2022,Q3,Bihar,800006,461,443836.0,962.767895878525
2022,Q3,Bihar,801503,439,495181.0,1127.9749430523918
2022,Q3,Bihar,844101,351,360663.0,1027.5299145299145
2022,Q3,Bihar,842001,325,346019.0,1064.6738461538462
2022,Q3,Bihar,812001,318,338120.0,1063.2704402515724
2022,Q3,Bihar,800002,304,316510.0,1041.1513157894738
2022,Q3,Bihar,800007,302,360011.0,1192.08940397351
2022,Q3,Bihar,845401,266,264953.0,996.0639097744361
2022,Q4,Bihar,800001,1363,1554670.0,1140.6236243580338
2022,Q4,Bihar,800020,775,796486.0,1027.723870967742
2022,Q4,Bihar,800006,578,565278.0,977.9896193771626
2022,Q4,Bihar,801503,443,583895.0,1318.0474040632055
2022,Q4,Bihar,800007,411,362730.0,882.5547445255474
2022,Q4,Bihar,842001,404,458688.0,1135.3663366336634
2022,Q4,Bihar,842002,353,387096.0,1096.5892351274788
2022,Q4,Bihar,800002,343,433027.0,1262.469387755102
2022,Q4,Bihar,812001,318,406355.0,1277.8459119496856
2022,Q4,Bihar,844101,306,318919.0,1042.2189542483661
2023,Q1,Bihar,800001,1144,1280139.0,1119.0026223776224
2023,Q1,Bihar,800020,694,822562.0,1185.2478386167147
2023,Q1,Bihar,800006,433,422875.0,976.6166281755196
2023,Q1,Bihar,801503,412,637141.0,1546.4587378640776
2023,Q1,Bihar,842002,304,338611.0,1113.8519736842106
2023,Q1,Bihar,812001,298,376896.0,1264.751677852349
2023,Q1,Bihar,842001,297,391575.0,1318.4343434343434
2023,Q1,Bihar,800002,291,375950.0,1291.9243986254296
2023,Q1,Bihar,844101,275,339925.0,1236.090909090909
2023,Q1,Bihar,800026,273,327801.0,1200.7362637362637
2023,Q2,Bihar,800001,1237,1451616.0,1173.4971705739692
2023,Q2,Bihar,800020,778,911768.0,1171.9383033419024
2023,Q2,Bihar,800006,490,522347.0,1066.0142857142857
2023,Q2,Bihar,842001,477,509103.0,1067.301886792453
2023,Q2,Bihar,842002,431,481174.0,1116.412993039443
2023,Q2,Bihar,801503,416,563711.0,1355.0745192307693
2023,Q2,Bihar,800002,317,435701.0,1374.4511041009464
2023,Q2,Bihar,800007,315,412062.0,1308.1333333333334
2023,Q2,Bihar,841301,288,298855.0,1037.6909722222222
2023,Q2,Bihar,800023,284,370428.0,1304.3239436619717
2023,Q3,Bihar,800001,1838,2006880.0,1091.8824809575626
2023,Q3,Bihar,800020,1198,1154873.0,964.0008347245409
