Year,Quarter,State,District,Count,Amount,Average Transaction
2021,Q1,Assam,Nagaon,151,91536.0,606.1986754966888
2021,Q1,Assam,Barpeta,138,94523.0,684.9492753623189
2021,Q1,Assam,Cachar,138,111672.0,809.2173913043479
2021,Q1,Assam,Kamrup,137,97851.0,714.2408759124088
2021,Q1,Assam,Tinsukia,108,99440.0,920.7407407407408
2021,Q1,Assam,Dibrugarh,91,81680.0,897.5824175824176
2021,Q1,Assam,Jorhat,90,68041.0,756.0111111111111
2021,Q1,Assam,Dhemaji,84,48008.0,571.5238095238095
2021,Q2,Assam,Kamrup Metropolitan,910,790743.0,868.9483516483516
2021,Q2,Assam,Sonitpur,166,149754.0,902.1325301204819
2021,Q2,Assam,Barpeta,150,166761.0,1111.74
2021,Q2,Assam,Nagaon,139,99192.0,713.6115107913669
2021,Q2,Assam,Dibrugarh,138,138262.0,1001.8985507246376
2021,Q2,Assam,Kamrup,131,151795.0,1158.7404580152672
2021,Q2,Assam,Cachar,125,110721.0,885.768
2021,Q2,Assam,Tinsukia,123,137739.0,1119.8292682926829
2021,Q2,Assam,Dhubri,92,89465.0,972.445652173913
2021,Q2,Assam,Jorhat,85,66263.0,779.564705882353
2021,Q3,Assam,Kamrup Metropolitan,1130,1219595.0,1079.287610619469
2021,Q3,Assam,Nagaon,256,414468.0,1619.015625
2021,Q3,Assam,Sonitpur,254,379958.0,1495.8976377952756
2021,Q3,Assam,Barpeta,246,472172.0,1919.39837398374
2021,Q3,Assam,Dibrugarh,244,369625.0,1514.8565573770493
2021,Q3,Assam,Tinsukia,193,219360.0,1136.580310880829
2021,Q3,Assam,Kamrup,187,191043.0,1021.620320855615
2021,Q3,Assam,Cachar,139,190170.0,1368.1294964028777
2021,Q3,Assam,Jorhat,121,187950.0,1553.3057851239669
2021,Q3,Assam,Baksa,120,133440.0,1112.0
2021,Q4,Assam,Kamrup Metropolitan,2250,2848340.0,1265.9288888888889
2021,Q4,Assam,Barpeta,470,805931.0,1714.7468085106384
2021,Q4,Assam,Nagaon,450,872663.0,1939.2511111111112
2021,Q4,Assam,Dibrugarh,422,720457.0,1707.244075829384
2021,Q4,Assam,Sonitpur,415,668817.0,1611.6072289156627
2021,Q4,Assam,Tinsukia,376,622789.0,1656.3537234042553
2021,Q4,Assam,Kamrup,360,561224.0,1558.9555555555555
2021,Q4,Assam,Cachar,322,545014.0,1692.5900621118012
2021,Q4,Assam,Jorhat,257,543440.0,2114.5525291828794
2021,Q4,Assam,Dhubri,255,370821.0,1454.2
2022,Q1,Assam,Kamrup Metropolitan,3580,5037571.0,1407.1427374301677
2022,Q1,Assam,Dibrugarh,873,1470129.0,1683.9965635738831
2022,Q1,Assam,Jorhat,865,1449243.0,1675.4254335260116
2022,Q1,Assam,Nagaon,841,1525020.0,1813.3412604042805
2022,Q1,Assam,Barpeta,746,1153589.0,1546.3659517426274
